"","seed","up_fdr","down_fdr","up_complement_OR","up_complement_P","down_synGO_OR","down_synGO_P"
"127","MNAT1",4372,3616,0.513554680670095,0.30074155601147,3.22704012068771,3.02598709557146e-57
"128","SAMD4A",609,633,0,0.62737869874852,2.16413899465532,1.90879286507274e-06
"129","RUNX3",103,51,0,1,5.78519339529395,3.37742437213506e-05
"130","MRE11A",3828,4035,2.86621560878368,0.00333484964440199,3.71496932064606,3.70861031295126e-78
"131","PLEKHB1",3284,4184,2.13928930061658,0.0584260550302912,3.60470715572082,1.61892569012227e-75
"132","SERPINB1",4015,4368,12.1378172463225,1.15373373454867e-14,3.68103447288036,9.62396887264638e-80
"133","CYP3A43",1,0,0,1,0,1
"134","SLC7A9",43,37,0,1,0,0.404647772704059
"135","SPAST",4302,4400,0.382547616678594,0.143277506688454,2.43861430339407,3.34713879703638e-35
"136","NRXN3",5486,4803,0.387773032817905,0.0609505704921587,0.887273253434155,0.156784442950446
"137","OSBPL5",4580,4020,0.623336547138342,0.419908950967972,1.40720096186711,2.4275637794317e-05
"138","AQR",4393,4040,0.656025712537867,0.53659329000947,2.42903839081884,2.89280336194965e-33
"139","CPS1",2800,3536,1.10648795851614,0.80290508326206,5.75443722145146,3.40945328357212e-140
"140","FHL1",3602,2789,0.829606966205287,0.826659374735044,0.803962903583918,0.047762354020726
"141","RTFDC1",3142,2693,0.552596511734897,0.476610100923907,3.25709997581184,7.29225511626055e-49
"142","GABRA1",4948,4293,0.322511405219907,0.0488545733875425,0.814844921401311,0.0223528395517235
"143","NLRP2",1,0,0,1,0,1
"144","SLC45A4",3778,3743,0.290215241356991,0.079047785534168,1.20278009440152,0.0317100610971802
"145","RNF10",4970,4710,0.564174022231828,0.325825466809832,1.00719198604358,0.935005035497264
"146","ZNF839",2709,1486,0.652860559431946,0.619603123103619,0.845820035373425,0.279126133213816
"147","ZDHHC6",1289,1157,0.461758156540276,0.723240124312072,2.82729323892027,2.12510417199921e-19
"148","GRAMD1B",5740,5557,0.366100084116847,0.0609270955936236,0.939818266967887,0.443523519339778
"149","RNH1",3286,3416,3.06869605194753,0.00163706848936989,3.32416723260682,1.0080737675671e-58
"150","NDUFS1",4387,3719,0.373842745549906,0.100329355963912,0.840327856520876,0.0726034948791399
"151","RB1CC1",2066,2644,0.572235748950304,0.772710777254566,3.33165470266656,2.13165957585702e-50
"152","ERP44",3642,3908,0.637958427402849,0.508717425184469,2.43686461885682,8.93641653927834e-33
"153","ALAS1",3749,2231,0.976444131743079,1,0.877659210009628,0.28705159324487
"154","BIRC3",2620,2655,2.07810644593513,0.0697095400403435,3.05216861978333,2.0676442896217e-42
"155","AKAP11",4631,4321,0.478784492452152,0.224734067806057,0.775754614145169,0.00530998685385116
"156","GLRX2",4273,3634,0.250687100049509,0.0368066767219911,1.5162330903067,5.77793668453591e-07
"157","SNAPC1",3703,3766,1.18952874486842,0.659178917117839,4.64621406778253,1.71110484391897e-107
"158","DERA",5409,5669,6.12562660730876,1.08140095083432e-08,4.29256481561847,2.63207747949457e-110
"159","STRAP",4873,4244,0.328830843496567,0.0492037011674938,0.753690014804399,0.00218612613306428
"160","DEF6",1463,490,20.3576164822645,3.09224349445191e-18,2.82280272109534,1.00979441436655e-09
"161","PLEKHO1",2512,1773,0,0.0315244289550572,1.80132756459442,3.41877091153832e-08
"162","GCLM",2820,2839,1.35380379690625,0.457041174005087,1.89210850948867,2.60014744833782e-13
"163","UBR2",2921,2900,0.39005084158673,0.226958280395446,2.92339040821337,4.69863186135287e-41
"164","EHD2",3541,3962,0.846822033712629,1,1.48567863881885,9.22748407147322e-07
"165","DEPDC1",1781,696,1.4154200205883,0.533682845224801,1.37272150695159,0.0646403544288544
"166","CCDC28A",3377,2321,0,0.00479673330499617,1.31981602058013,0.00690442445261087
"167","RRAGD",4111,3049,0.128035973765924,0.0102592894165064,2.22086453849478,4.0834858061176e-22
"168","HSF2",3649,2514,0.302065746114353,0.116178663196242,1.21601787790349,0.0494295841483234
"169","PHF20",3375,2615,0.33056053470392,0.164523101580534,0.88735300700615,0.296420632640204
"170","HSD17B6",3457,4021,1.51654808500339,0.26116232451529,4.95931192854047,3.70624426688864e-121
"171","NR1H3",1772,1736,0.675598854119378,1,4.91554013844903,2.66008387711853e-74
"172","TYMP",2136,1288,20.0963911748245,1.64472165487376e-19,3.15840719304722,8.61878560578596e-27
"173","NCAPH2",4578,3427,0.769797606878544,0.687925391175134,1.07296737082847,0.430289702793343
"174","TOMM34",4482,3529,0.236589312756021,0.0248324925955994,0.783104614406181,0.0132733902124289
"175","SEC63",3291,3168,0.340279815565638,0.162239892964238,0.900561644098497,0.313348058183855
"176","KPNA6",4943,4976,0.44199094911716,0.1201668237473,0.865377959495377,0.0859809093988865
"177","VIM",3599,3810,4.62650992275767,4.93174291447171e-06,5.0230964731572,1.17160209357866e-120
"178","RTEL1-TNFRSF6B",1983,1320,0.921443871641518,1,1.76671165044929,2.94079674129774e-06
"179","FAS",2520,2917,18.6071379924983,6.55169344933118e-19,4.31659057099125,2.16707091210986e-84
"180","RNASET2",727,99,21.5937376826804,1.18957402211189e-14,0.990966262366895,1
"181","CD44",3740,3689,11.8337463948168,2.11597779922684e-14,3.7557043056361,3.43877114534776e-76
"182","KCNG1",3372,2837,0.330899308844186,0.164413453198835,1.139113475771,0.174085158501641
"183","AGPAT4",1390,495,0.426733654931961,0.727290640516514,1.5898641791651,0.0207093296461306
"184","BTN3A1",4404,4935,7.90430846460182,1.0593943817503e-10,4.82544329068412,4.7747431286261e-125
"185","MIPEP",2093,1420,0.274923122994484,0.256193602257007,4.15774834441921,1.37174576066961e-48
"186","PRKCH",2157,2452,12.1304699541989,1.84690173680305e-13,6.83351332790089,1.83412183629365e-146
"187","IFNGR1",4317,4001,11.1259415545113,7.9988185966529e-14,4.93320696430557,5.06914729145188e-120
"188","B4GALT7",3829,2752,0.60179050291485,0.512308630061733,1.20205664319591,0.0588660216958106
"189","SH2D2A",171,31,16.0681766322549,0.000173512194591607,5.67453581554836,0.00138628849527624
"190","VRK2",3664,4586,1.64385952402783,0.18411263117793,4.67567673104687,4.14325090031876e-117
"191","TNFRSF1B",2472,1721,23.7680307988494,9.07473810727722e-22,3.8914847065002,6.24397725030003e-50
"192","VEZT",3679,2761,0.460438346663884,0.267255795873127,1.76250507511657,2.7477358746098e-10
"193","POU2F2",2505,2109,0.976096090913097,1,1.35901966922695,0.00396751647687325
"194","BRD9",2793,1878,0,0.0122415400953635,1.9980366684801,1.01345512065784e-11
"195","SNX1",2643,3230,0.919502469958393,1,2.51832528527899,1.541483237378e-31
"196","TBPL1",4058,2952,0.266711773142519,0.0543061900586571,1.56919366617643,4.10617621648287e-07
"197","ARNTL2",2652,2340,0.211809317420299,0.122551574753986,0.972087516192634,0.869260505335992
"198","BCLAF1",5094,4168,0.67461068177834,0.442741734722029,2.03318208004594,3.73494913229125e-21
"199","SLC39A9",4459,3631,0.64429496634859,0.420760703151558,2.46946464250352,2.32473895119842e-32
"200","ANK1",2720,2078,0.205902206788875,0.124748055530527,1.00414009963101,0.953862608962132
"201","TFB1M",324,28,0,1,0.871594259641357,1
"202","RABEP1",4104,3213,0.405089316822847,0.140896743510935,2.14388108965081,6.48753496592583e-21
