gene	set
CSMD3	complement_and_C4A_PPI_InWeb_highconf_67genes
ELANE	complement_and_C4A_PPI_InWeb_highconf_67genes
F2	complement_and_C4A_PPI_InWeb_highconf_67genes
ITGAM	complement_and_C4A_PPI_InWeb_highconf_67genes
ITGAX	complement_and_C4A_PPI_InWeb_highconf_67genes
ITGB2	complement_and_C4A_PPI_InWeb_highconf_67genes
SERPING1	complement_and_C4A_PPI_InWeb_highconf_67genes
VSIG4	complement_and_C4A_PPI_InWeb_highconf_67genes
VTN	complement_and_C4A_PPI_InWeb_highconf_67genes
C5AR2	complement_and_C4A_PPI_InWeb_highconf_67genes
C4B_2	complement_and_C4A_PPI_InWeb_highconf_67genes
IGHG1	complement_and_C4A_PPI_InWeb_highconf_67genes
IGHG2	complement_and_C4A_PPI_InWeb_highconf_67genes
IGHG4	complement_and_C4A_PPI_InWeb_highconf_67genes
IGKC	complement_and_C4A_PPI_InWeb_highconf_67genes
IGKV3-11	complement_and_C4A_PPI_InWeb_highconf_67genes
IGKV3-20	complement_and_C4A_PPI_InWeb_highconf_67genes
IGKV4-1	complement_and_C4A_PPI_InWeb_highconf_67genes
IGKV5-2	complement_and_C4A_PPI_InWeb_highconf_67genes
IGLL5	complement_and_C4A_PPI_InWeb_highconf_67genes
C1QA	complement_and_C4A_PPI_InWeb_86genes
C1QB	complement_and_C4A_PPI_InWeb_86genes
C1QC	complement_and_C4A_PPI_InWeb_86genes
C1R	complement_and_C4A_PPI_InWeb_86genes
C1S	complement_and_C4A_PPI_InWeb_86genes
C2	complement_and_C4A_PPI_InWeb_86genes
C3	complement_and_C4A_PPI_InWeb_86genes
C4A	complement_and_C4A_PPI_InWeb_86genes
C4B	complement_and_C4A_PPI_InWeb_86genes
C5	complement_and_C4A_PPI_InWeb_86genes
C6	complement_and_C4A_PPI_InWeb_86genes
C7	complement_and_C4A_PPI_InWeb_86genes
C8A	complement_and_C4A_PPI_InWeb_86genes
C8B	complement_and_C4A_PPI_InWeb_86genes
C8G	complement_and_C4A_PPI_InWeb_86genes
C9	complement_and_C4A_PPI_InWeb_86genes
CFB	complement_and_C4A_PPI_InWeb_86genes
CFD	complement_and_C4A_PPI_InWeb_86genes
CFP	complement_and_C4A_PPI_InWeb_86genes
COLEC10	complement_and_C4A_PPI_InWeb_86genes
COLEC11	complement_and_C4A_PPI_InWeb_86genes
FCN1	complement_and_C4A_PPI_InWeb_86genes
FCN2	complement_and_C4A_PPI_InWeb_86genes
FCN3	complement_and_C4A_PPI_InWeb_86genes
MASP1	complement_and_C4A_PPI_InWeb_86genes
MASP2	complement_and_C4A_PPI_InWeb_86genes
MBL2	complement_and_C4A_PPI_InWeb_86genes
C3AR1	complement_and_C4A_PPI_InWeb_86genes
C4BPA	complement_and_C4A_PPI_InWeb_86genes
C4BPB	complement_and_C4A_PPI_InWeb_86genes
