"","i","R","P","Gene","FDR","syngo","ENSG"
"106",106,-0.0640670021535589,0.194704168314059,"PANK4",0.273405642664163,FALSE,"ENSG00000157881"
"107",107,-0.0306794956756632,0.340591123411561,"HES5",0.3968109682367,FALSE,"ENSG00000197921"
"108",108,-0.0732586074656531,0.162208425222065,"RP3-395M20.12",0.239931297212709,FALSE,"ENSG00000272449"
"109",109,-0.0270849503428546,0.358437672042445,"RP3-395M20.8",0.40987477804827,FALSE,"ENSG00000238164"
"110",110,0.063611473558315,0.196408116229307,"TNFRSF14",0.274987853746741,FALSE,"ENSG00000157873"
"111",111,-0.040643110757652,0.292991118251501,"RP3-395M20.9",0.359303320231203,FALSE,"ENSG00000228037"
"112",112,-0.162972606306953,0.0125481485272229,"FAM213B",0.0335859352634739,FALSE,"ENSG00000157870"
"113",113,0.444172122914244,6.64787637981362e-14,"MMEL1",5.93857171250315e-12,FALSE,"ENSG00000142606"
"114",114,0.0326825385745899,0.330790964277103,"TTC34",0.389224077007507,FALSE,"ENSG00000215912"
"115",115,0.196479883420039,0.00312587475243104,"LINC00982",0.0108685931878619,FALSE,"ENSG00000177133"
"116",116,0.241871949667309,0.000293985203790272,"PRDM16",0.00149952687429094,FALSE,"ENSG00000142611"
"117",117,0.0689752011640838,0.176901826318713,"ARHGEF16",0.255341956621037,FALSE,"ENSG00000130762"
"118",118,-0.0812072631331495,0.137045126982804,"MEGF6",0.212378682359818,FALSE,"ENSG00000162591"
"119",119,-0.098148829827528,0.0924339868294633,"RP11-46F15.2",0.159793008765232,FALSE,"ENSG00000238260"
"120",120,-0.310438810505563,2.14979457642188e-06,"TPRG1L",2.28330092750541e-05,FALSE,"ENSG00000158109"
"121",121,-0.0697406950001357,0.174217986987664,"WRAP73",0.2524783434802,FALSE,"ENSG00000116213"
"122",122,-0.0617391151815261,0.203503078969324,"TP73",0.281764664245392,FALSE,"ENSG00000078900"
"123",123,0.133998132933334,0.0339589217400228,"TP73-AS1",0.0742495519235852,FALSE,"ENSG00000227372"
"124",124,0.0254999612905221,0.366405672105849,"SMIM1",0.415233476742257,FALSE,"ENSG00000235169"
"125",125,-0.145052640755845,0.0237182559870468,"LRRC47",0.0560806511343455,FALSE,"ENSG00000130764"
"126",126,0.0122246420096505,0.435031285350286,"RP1-286D6.5",0.460823596618644,FALSE,"ENSG00000272153"
"127",127,0.109974390079804,0.0681949757185718,"CEP104",0.126760934893509,FALSE,"ENSG00000116198"
"128",128,-0.130057428456199,0.0383644823976408,"DFFB",0.0815405567265789,FALSE,"ENSG00000169598"
"129",129,-0.05210043569684,0.242290514139786,"C1orf174",0.317375830579806,FALSE,"ENSG00000198912"
"130",130,-0.210771631181021,0.00158357647407551,"AJAP1",0.00617326422097232,FALSE,"ENSG00000196581"
"131",131,-0.0525467325071169,0.240413235712388,"NPHP4",0.315867947905771,FALSE,"ENSG00000131697"
"132",132,-0.177059542632108,0.00723129174469233,"KCNAB2",0.0214145549520932,TRUE,"ENSG00000069424"
"133",133,-0.179562812133454,0.00652453821015002,"CHD5",0.0197572653730481,FALSE,"ENSG00000116254"
"134",134,0.0240982645970681,0.373499040449824,"RPL22",0.419495643110643,TRUE,"ENSG00000116251"
"135",135,-0.210306071932183,0.00162047869210284,"RNF207",0.00629260210148998,FALSE,"ENSG00000158286"
"136",136,-0.289461459175052,1.1847012048732e-05,"ICMT",9.99825858688857e-05,FALSE,"ENSG00000116237"
"137",137,-0.238483440934357,0.000358359051163556,"GPR153",0.0017709964469703,FALSE,"ENSG00000158292"
"138",138,-0.186166578249255,0.00493769430813931,"ACOT7",0.0157731901510006,FALSE,"ENSG00000097021"
"139",139,-0.0255648631711062,0.366078277788742,"ESPN",0.415034840728002,FALSE,"ENSG00000187017"
"140",140,-0.104132958609628,0.0794949217897434,"TNFRSF25",0.14208962796005,FALSE,"ENSG00000215788"
"141",141,-0.176015966764562,0.00754471649944357,"PLEKHG5",0.022162327826463,TRUE,"ENSG00000171680"
"142",142,-0.137919249642857,0.0299850127277649,"NOL9",0.0675828007076567,FALSE,"ENSG00000162408"
"143",143,0.061716663687447,0.203589041484817,"ZBTB48",0.28180682101143,FALSE,"ENSG00000204859"
