Gene	Set
MTMR4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TRIM37	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MED31	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DUSP3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
OCIAD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DCUN1D4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
LAMTOR3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MAPK10	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TBC1D9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GLRB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SNX25	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CCDC34	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CCKBR	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA1549L	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ELMOD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GTF2H1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPFIBP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CSRNP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPM1H	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KCNA1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CAND1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
COPS7A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SUDS3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
C2CD5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
COL12A1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RNGTT	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NCOA7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PHACTR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FBXO9	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CAP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GPLD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FIG4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NME5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
HMGCR	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GABRG2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPP2CA	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NR3C1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CRBN	C4A-negative-network-PEC_CN2_and_GTEX_CN2
UBE3A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FGF12	C4A-negative-network-PEC_CN2_and_GTEX_CN2
C3orf14	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATP6V1A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KLHL18	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PLCH1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
VIPR1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ADAM23	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KCNIP3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ACTR1B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DNAJC27	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PDE1A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RTN4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GLS	C4A-negative-network-PEC_CN2_and_GTEX_CN2
EHBP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ST3GAL5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FHL2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PLEKHB2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
COX7A2L	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AAK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FARSB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
MARK1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
C1orf21	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DNAJC6	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AGMAT	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PHTF1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RIMS3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RGS4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ELOVL4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC16A7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
OLFM3	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAB3GAP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PPL	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SENP5	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TRIM32	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RBM18	C4A-negative-network-PEC_CN2_and_GTEX_CN2
FAM98A	C4A-negative-network-PEC_CN2_and_GTEX_CN2
AFTPH	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CNRIP1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
C10orf88	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GOT1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PCMT1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ENOX1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PAIP2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
PLS1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
DUSP4	C4A-negative-network-PEC_CN2_and_GTEX_CN2
GTDC1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SV2C	C4A-negative-network-PEC_CN2_and_GTEX_CN2
KIAA1549	C4A-negative-network-PEC_CN2_and_GTEX_CN2
CISD1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC25A16	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RNF11	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SPRYD7	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SPATS2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
RAB9B	C4A-negative-network-PEC_CN2_and_GTEX_CN2
SLC36A1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
TTPAL	C4A-negative-network-PEC_CN2_and_GTEX_CN2
VAPB	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ARFGEF2	C4A-negative-network-PEC_CN2_and_GTEX_CN2
NRN1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
ATXN1	C4A-negative-network-PEC_CN2_and_GTEX_CN2
