gene	set
CFB	Complement + C4A PPI InWeb (67 genes)
CFD	Complement + C4A PPI InWeb (67 genes)
CFP	Complement + C4A PPI InWeb (67 genes)
COLEC10	Complement + C4A PPI InWeb (67 genes)
COLEC11	Complement + C4A PPI InWeb (67 genes)
FCN1	Complement + C4A PPI InWeb (67 genes)
FCN2	Complement + C4A PPI InWeb (67 genes)
FCN3	Complement + C4A PPI InWeb (67 genes)
MASP1	Complement + C4A PPI InWeb (67 genes)
MASP2	Complement + C4A PPI InWeb (67 genes)
MBL2	Complement + C4A PPI InWeb (67 genes)
C3AR1	Complement + C4A PPI InWeb (67 genes)
C4BPA	Complement + C4A PPI InWeb (67 genes)
C4BPB	Complement + C4A PPI InWeb (67 genes)
C5AR1	Complement + C4A PPI InWeb (67 genes)
CD46	Complement + C4A PPI InWeb (67 genes)
CD55	Complement + C4A PPI InWeb (67 genes)
CD59	Complement + C4A PPI InWeb (67 genes)
CD93	Complement + C4A PPI InWeb (67 genes)
CFH	Complement + C4A PPI InWeb (67 genes)
CFHR1	Complement + C4A PPI InWeb (67 genes)
CFHR2	Complement + C4A PPI InWeb (67 genes)
CFHR3	Complement + C4A PPI InWeb (67 genes)
CFHR4	Complement + C4A PPI InWeb (67 genes)
CFHR5	Complement + C4A PPI InWeb (67 genes)
CFI	Complement + C4A PPI InWeb (67 genes)
CLU	Complement + C4A PPI InWeb (67 genes)
CR1	Complement + C4A PPI InWeb (67 genes)
CR2	Complement + C4A PPI InWeb (67 genes)
CSMD1	Complement + C4A PPI InWeb (67 genes)
CSMD2	Complement + C4A PPI InWeb (67 genes)
CSMD3	Complement + C4A PPI InWeb (67 genes)
ELANE	Complement + C4A PPI InWeb (67 genes)
F2	Complement + C4A PPI InWeb (67 genes)
ITGAM	Complement + C4A PPI InWeb (67 genes)
ITGAX	Complement + C4A PPI InWeb (67 genes)
ITGB2	Complement + C4A PPI InWeb (67 genes)
SERPING1	Complement + C4A PPI InWeb (67 genes)
VSIG4	Complement + C4A PPI InWeb (67 genes)
VTN	Complement + C4A PPI InWeb (67 genes)
C5AR2	Complement + C4A PPI InWeb (67 genes)
C4B_2	Complement + C4A PPI InWeb (67 genes)
