"","gene","Seed","Gene","R","P","FDR"
"cor18715","AL672183.2","ENSG00000244731","ENSG00000233084",0.0604336956603035,0.470245315281576,0.716634626932894
"cor18716","AC073869.1","ENSG00000244731","ENSG00000233087",-0.164326748353694,0.0482593523096205,0.192842875415219
"cor18717","RP11-344E13.3","ENSG00000244731","ENSG00000233098",-0.166088746664404,0.0458737779240864,0.186667311685412
"cor18718","RP11-375A5.1","ENSG00000244731","ENSG00000233099",0.0318520216569584,0.703703424892844,0.864090141647839
"cor18719","RP11-301L8.2","ENSG00000244731","ENSG00000233110",-0.00491027045618722,0.953257899437045,0.981462270940031
"cor18720","FAM90A11P","ENSG00000244731","ENSG00000233115",0.0275793148198381,0.741938589645651,0.884206094674574
"cor18721","LINC00702","ENSG00000244731","ENSG00000233117",-0.085100134656312,0.308811212415232,0.574181228451176
"cor18722","VN1R20P","ENSG00000244731","ENSG00000233121",-0.0682177973750412,0.414905375033934,0.670946175730777
"cor18723","CTAGE7P","ENSG00000244731","ENSG00000233122",-0.119336621928566,0.15280883210782,0.387227887006878
"cor18724","LINC01007","ENSG00000244731","ENSG00000233123",-0.123959756711727,0.137414196899481,0.365852006695057
"cor18725","RP11-220I1.1","ENSG00000244731","ENSG00000233137",-0.00968529764018282,0.907953929569209,0.961371706680566
"cor18726","AC009492.1","ENSG00000244731","ENSG00000233143",-0.078475577960237,0.348120971677335,0.611370259199484
"cor18727","SYF2P2","ENSG00000244731","ENSG00000233148",-0.103834937445512,0.213912411313928,0.467949286131826
"cor18728","HMGA1P8","ENSG00000244731","ENSG00000233155",-0.128833468798384,0.122497108673023,0.341729676257007
"cor18729","RP3-388M5.8","ENSG00000244731","ENSG00000233157",0.0589648904917454,0.481121922729834,0.724602792474237
"cor18730","EEF1A1P26","ENSG00000244731","ENSG00000233167",-0.125724443211236,0.131860608667308,0.357251631045361
"cor18731","RP11-863K10.4","ENSG00000244731","ENSG00000233170",-0.0771651360369026,0.356254533944058,0.620370539684761
"cor18732","CTD-2020K17.3","ENSG00000244731","ENSG00000233175",0.0627318850121758,0.453500070290031,0.703651351972258
"cor18733","OR7E157P","ENSG00000244731","ENSG00000233176",0.0328010439315907,0.695306682372736,0.859018043882413
"cor18734","RP11-88I18.2","ENSG00000244731","ENSG00000233178",-0.0498292047990809,0.551709952602968,0.773065799629711
"cor18735","RP11-421L21.3","ENSG00000244731","ENSG00000233184",-0.0886369413060838,0.289062453243158,0.554131325391533
"cor18736","RPL12P29","ENSG00000244731","ENSG00000233189",-0.0807498297696122,0.334285075164328,0.599373008188327
"cor18737","GS1-304P7.1","ENSG00000244731","ENSG00000233196",-0.16237956871569,0.0510146726572125,0.199764839420692
"cor18738","RNF224","ENSG00000244731","ENSG00000233198",-0.15644110033908,0.0602331887791101,0.221937127604401
"cor18739","RP11-324I22.2","ENSG00000244731","ENSG00000233200",-0.0681729596303081,0.415212821284368,0.67121630024808
"cor18740","RP11-67L3.4","ENSG00000244731","ENSG00000233203",-0.0170260056023626,0.838931410175644,0.93212993774484
